title,description,category,priority
Classroom problem,There is an electrical infrastructure problem. The issue is at Library.,Infrastructure,Low
Bus route problem,There is an issue with the current bus route. Students at Campus are affected.,Transport,Medium
Campus infrastructure problem,Some equipment in the classroom is damaged. I noticed this problem at Academic Block.,Infrastructure,Medium
Electrical infrastructure issue,There is a problem with the classroom facilities.,Infrastructure,Low
Laboratory computer issue,Some required laboratory equipment is missing. The issue is at Main Building.,Laboratory,Low
Classroom problem,There is a problem with the classroom facilities. Students at Sports Complex are affected.,Infrastructure,Medium
Network connection problem,The computer network is not accessible. The issue is at Main Building.,IT / Wi-Fi,Low
Plumbing problem,There is water leakage that requires immediate repair. I noticed this problem at Hostel A.,Maintenance,Medium
Missing lab equipment,There is a problem with the laboratory facilities. This has been causing inconvenience at Campus.,Laboratory,Low
Water supply problem,I have an issue with my hostel room allocation. The issue is at Campus.,Hostel,Medium
Ceiling leakage,Several chairs and desks are damaged. I noticed this problem at Hostel A.,Infrastructure,Medium
Course registration problem,I am unable to submit my assignment through the portal. Students at Main Gate are affected.,Academic,Low
Library facility problem,The library timing is causing difficulty for students. Students at Academic Block are affected.,Library,Medium
Water leakage,The ceiling fan is not working. This has been causing inconvenience at Library.,Maintenance,Medium
Missing lab equipment,A computer in the laboratory is not functioning. The issue is at Laboratory Block.,Laboratory,High
Student portal not working,The computer network is not accessible. I noticed this problem at Library.,IT / Wi-Fi,Medium
WiFi not working,The student portal is not working properly. I noticed this problem at Laboratory Block.,IT / Wi-Fi,Medium
Bathroom issue,There is an electricity problem in the hostel.,Hostel,High
Library book unavailable,A computer in the library is not working. Students at Main Building are affected.,Library,Medium
Attendance issue,My internal assessment marks appear to be incorrect. I noticed this problem at Library.,Academic,High
Room maintenance issue,The hostel common area is not being cleaned properly. The issue is at Main Building.,Hostel,High
Assignment submission issue,I am facing a problem while registering for my course. The issue is at Laboratory Block.,Academic,Medium
Library computer issue,There are not enough seats available in the library. I noticed this problem at Campus.,Library,High
Library facility problem,There are not enough seats available in the library. Students at Campus are affected.,Library,Medium
Maintenance request,The ceiling fan is not working.,Maintenance,Medium
Water leakage,There is a plumbing problem that needs attention. Students at Main Building are affected.,Maintenance,High
Reference book unavailable,The required reference book is unavailable. Students at Computer Lab are affected.,Library,High
College bus issue,There is an issue with the current bus route.,Transport,Medium
Hostel cleanliness problem,The bathroom facilities require attention. Students at Academic Block are affected.,Hostel,Medium
Marks not updated,I am unable to submit my assignment through the portal.,Academic,Low
Transport facility issue,The transport timing is inconvenient. This has been causing inconvenience at Laboratory Block.,Transport,High
Campus WiFi issue,WiFi is not working in my hostel. This has been causing inconvenience at Hostel B.,IT / Wi-Fi,Medium
Electrical infrastructure issue,The classroom infrastructure needs maintenance. Students at Campus are affected.,Infrastructure,Low
College bus issue,The college bus requires maintenance.,Transport,Medium
Transport facility issue,The college bus requires maintenance. This has been causing inconvenience at Hostel C.,Transport,High
Lab safety issue,Practical equipment appears to be damaged. This has been causing inconvenience at Campus.,Laboratory,Medium
Laboratory facility issue,A computer in the laboratory is not functioning. Students at Main Building are affected.,Laboratory,Medium
Digital library issue,A computer in the library is not working. Students at Hostel C are affected.,Library,Medium
Broken fan,The lights in the room are not working. This has been causing inconvenience at Hostel B.,Maintenance,High
Reference book unavailable,A library facility requires maintenance. Students at Hostel A are affected.,Library,High
Water leakage,A maintenance request has been pending. The issue is at Computer Lab.,Maintenance,Medium
Lab workstation problem,One of the lab workstations is not working.,Laboratory,Medium
Transport timing problem,The college bus is overcrowded. This has been causing inconvenience at Laboratory Block.,Transport,Low
Cleaning required,A maintenance request has been pending. This has been causing inconvenience at Hostel C.,Maintenance,Medium
Internal marks issue,My marks have not been updated on the student portal. This has been causing inconvenience at Hostel B.,Academic,Medium
College bus issue,The college bus arrived late today. This has been causing inconvenience at Main Building.,Transport,Medium
Computer network issue,I cannot log in to the student portal. This has been causing inconvenience at Library.,IT / Wi-Fi,Medium
Plumbing problem,An electrical repair is required. The issue is at Computer Lab.,Maintenance,Low
Book return issue,A computer in the library is not working. The issue is at Main Gate.,Library,Low
Student portal not working,WiFi is not working in my hostel. Students at Sports Complex are affected.,IT / Wi-Fi,Medium
Electrical infrastructure issue,Some equipment in the classroom is damaged. Students at Sports Complex are affected.,Infrastructure,High
Laboratory maintenance,Some required laboratory equipment is missing.,Laboratory,Low
Classroom problem,Some equipment in the classroom is damaged. The issue is at Sports Complex.,Infrastructure,Medium
Maintenance request,The lights in the room are not working.,Maintenance,Medium
Bathroom issue,Water supply has been irregular in the hostel. The issue is at Sports Complex.,Hostel,Medium
Cleaning required,An electrical repair is required. I noticed this problem at Campus.,Maintenance,Low
Damaged facility,An electrical repair is required. I noticed this problem at Laboratory Block.,Maintenance,High
Ceiling leakage,Several chairs and desks are damaged. I noticed this problem at Campus.,Infrastructure,High
Transport facility issue,The college bus is overcrowded. Students at Library are affected.,Transport,Low
Laboratory facility issue,There is a safety issue in the laboratory.,Laboratory,Critical
Cleaning required,There is water leakage that requires immediate repair. I noticed this problem at Computer Lab.,Maintenance,Medium
Transport timing problem,The scheduled bus service did not arrive. I noticed this problem at Main Building.,Transport,Medium
Lab equipment problem,There is a safety issue in the laboratory. Students at Hostel B are affected.,Laboratory,Critical
Damaged facility,The lights in the room are not working. This has been causing inconvenience at Computer Lab.,Maintenance,High
Attendance issue,My semester result is still not showing. This has been causing inconvenience at Academic Block.,Academic,Medium
Laboratory maintenance,There is a problem with the laboratory facilities.,Laboratory,Medium
Cleaning required,The area requires proper cleaning. I noticed this problem at Computer Lab.,Maintenance,Medium
Lab safety issue,A computer in the laboratory is not functioning. I noticed this problem at Academic Block.,Laboratory,Low
Building maintenance issue,The building requires maintenance. I noticed this problem at Computer Lab.,Infrastructure,Medium
Hostel cleanliness problem,The bathroom facilities require attention. I noticed this problem at Academic Block.,Hostel,Medium
Lab equipment problem,Some required laboratory equipment is missing. The issue is at Main Building.,Laboratory,Low
Missing lab equipment,There is a problem with the laboratory facilities. The issue is at Hostel B.,Laboratory,Medium
Bus maintenance problem,The college bus requires maintenance. Students at Library are affected.,Transport,Low
Laboratory facility issue,A computer in the laboratory is not functioning. This has been causing inconvenience at Hostel B.,Laboratory,High
Hostel room issue,I have an issue with my hostel room allocation.,Hostel,Medium
Hostel cleanliness problem,Water supply has been irregular in the hostel. This has been causing inconvenience at Campus.,Hostel,Medium
Damaged facility,A campus facility is damaged and needs repair.,Maintenance,High
Lab equipment problem,A computer in the laboratory is not functioning. Students at Academic Block are affected.,Laboratory,Medium
Hostel room allocation issue,The hostel common area is not being cleaned properly.,Hostel,Low
Classroom infrastructure issue,Water is leaking from the classroom ceiling.,Infrastructure,High
Lab equipment problem,There is a safety issue in the laboratory. I noticed this problem at Main Building.,Laboratory,Critical
Bus route problem,The transport timing is inconvenient.,Transport,Medium
Electrical repair required,The lights in the room are not working. Students at Main Gate are affected.,Maintenance,Medium
Broken classroom equipment,The classroom infrastructure needs maintenance. I noticed this problem at Hostel C.,Infrastructure,Medium
Bus route problem,The college bus requires maintenance. This has been causing inconvenience at Main Building.,Transport,Medium
Bus maintenance problem,There is an issue with the current bus route. The issue is at Sports Complex.,Transport,High
Library seat problem,The required book is not available in the library. Students at Hostel B are affected.,Library,Low
Lab equipment problem,Some required laboratory equipment is missing.,Laboratory,High
Missing lab equipment,One of the lab workstations is not working. This has been causing inconvenience at Main Gate.,Laboratory,Low
Missing bus service,There is a problem with the transport facility. I noticed this problem at Library.,Transport,Low
Campus infrastructure problem,Water is leaking from the classroom ceiling. I noticed this problem at Computer Lab.,Infrastructure,High
Faculty related issue,My attendance is incorrect in the academic record. I noticed this problem at Library.,Academic,Medium
Room maintenance issue,There is a problem with my hostel room.,Hostel,High
Water leakage,The lights in the room are not working. I noticed this problem at Campus.,Maintenance,High
Bus delay,The transport timing is inconvenient.,Transport,Medium
Laboratory facility issue,There is a problem with the laboratory facilities. The issue is at Hostel B.,Laboratory,Medium
Classroom problem,The classroom infrastructure needs maintenance. This has been causing inconvenience at Campus.,Infrastructure,Low
Internet connectivity problem,The computer network is not accessible. Students at Hostel B are affected.,IT / Wi-Fi,High
Practical equipment damaged,One of the lab workstations is not working. This has been causing inconvenience at Computer Lab.,Laboratory,Medium
College bus issue,There is a problem with the transport facility.,Transport,Medium
Bathroom issue,My hostel room requires maintenance.,Hostel,Medium
Result not updated,My semester result is still not showing.,Academic,High
Electrical infrastructure issue,There is an electrical infrastructure problem. I noticed this problem at Library.,Infrastructure,High
Missing bus service,The transport timing is inconvenient.,Transport,High
Internet speed problem,WiFi is not working in my hostel. This has been causing inconvenience at Library.,IT / Wi-Fi,High
Broken fan,A campus facility is damaged and needs repair. Students at Hostel A are affected.,Maintenance,Medium
Hostel facility problem,Water supply has been irregular in the hostel. This has been causing inconvenience at Campus.,Hostel,Low
Ceiling leakage,Several chairs and desks are damaged. This has been causing inconvenience at Hostel B.,Infrastructure,Medium
Library facility problem,A computer in the library is not working.,Library,High
Reference book unavailable,The required book is not available in the library. The issue is at Sports Complex.,Library,Medium
Lab safety issue,A computer in the laboratory is not functioning. The issue is at Laboratory Block.,Laboratory,Low
College bus issue,The college bus is overcrowded. The issue is at Hostel A.,Transport,Medium
Result not updated,I am facing a problem while registering for my course. This has been causing inconvenience at Library.,Academic,Medium
Internet speed problem,Campus WiFi keeps disconnecting. Students at Hostel C are affected.,IT / Wi-Fi,Low
Broken light,A campus facility is damaged and needs repair. Students at Sports Complex are affected.,Maintenance,Medium
Bus overcrowding,The college bus requires maintenance. The issue is at Main Building.,Transport,High
Missing lab equipment,A computer in the laboratory is not functioning. I noticed this problem at Computer Lab.,Laboratory,Medium
Plumbing problem,A campus facility is damaged and needs repair. Students at Main Building are affected.,Maintenance,High
Bus route problem,The transport timing is inconvenient.,Transport,Medium
Practical equipment damaged,The equipment required for the practical is not working. This has been causing inconvenience at Main Gate.,Laboratory,Medium
Marks not updated,I need assistance regarding an academic issue. Students at Main Building are affected.,Academic,Medium
Student portal not working,I am facing a network connectivity problem. Students at Main Gate are affected.,IT / Wi-Fi,Low
Result not updated,I need assistance regarding an academic issue.,Academic,Medium
Broken classroom equipment,There is a problem with the classroom facilities. This has been causing inconvenience at Library.,Infrastructure,Medium
Campus WiFi issue,I cannot log in to the student portal.,IT / Wi-Fi,Medium
Classroom problem,There is an electrical infrastructure problem. I noticed this problem at Main Building.,Infrastructure,Low
Bus route problem,The college bus service is facing a problem. This has been causing inconvenience at Academic Block.,Transport,Medium
Room maintenance issue,There is a problem with my hostel room.,Hostel,Low
Missing bus service,The college bus is overcrowded. This has been causing inconvenience at Sports Complex.,Transport,Medium
Hostel cleanliness problem,A basic hostel facility is not working properly.,Hostel,Medium
Internet connectivity problem,The computer network is not accessible. This has been causing inconvenience at Main Building.,IT / Wi-Fi,Low
Classroom infrastructure issue,The classroom infrastructure needs maintenance. This has been causing inconvenience at Main Building.,Infrastructure,Low
Hostel cleanliness problem,I have an issue with my hostel room allocation. This has been causing inconvenience at Laboratory Block.,Hostel,Medium
Broken fan,A maintenance request has been pending. The issue is at Main Gate.,Maintenance,High
Plumbing problem,There is water leakage that requires immediate repair. Students at Library are affected.,Maintenance,High
Transport timing problem,The scheduled bus service did not arrive. I noticed this problem at Hostel B.,Transport,Medium
Internal marks issue,My semester result is still not showing. The issue is at Academic Block.,Academic,High
Hostel cleanliness problem,There is a problem with my hostel room. I noticed this problem at Hostel A.,Hostel,Medium
Building maintenance issue,Some equipment in the classroom is damaged. Students at Campus are affected.,Infrastructure,Medium
Login portal issue,Campus WiFi keeps disconnecting. The issue is at Sports Complex.,IT / Wi-Fi,Medium
Damaged furniture,There is a problem with the classroom facilities. The issue is at Hostel C.,Infrastructure,Low
Classroom infrastructure issue,The campus infrastructure needs attention.,Infrastructure,Medium
Exam schedule problem,My semester result is still not showing. Students at Hostel A are affected.,Academic,High
Water supply problem,A basic hostel facility is not working properly. I noticed this problem at Computer Lab.,Hostel,Low
Transport timing problem,The college bus arrived late today.,Transport,Medium
Bus delay,The college bus arrived late today. This has been causing inconvenience at Computer Lab.,Transport,High
Hostel facility problem,A basic hostel facility is not working properly. The issue is at Hostel B.,Hostel,Medium
Broken classroom equipment,Several chairs and desks are damaged.,Infrastructure,Medium
Plumbing problem,A campus facility is damaged and needs repair.,Maintenance,High
Water supply problem,The hostel common area is not being cleaned properly. This has been causing inconvenience at Laboratory Block.,Hostel,Medium
Cleaning required,A campus facility is damaged and needs repair. This has been causing inconvenience at Laboratory Block.,Maintenance,Low
Library facility problem,The digital library is not accessible. I noticed this problem at Main Gate.,Library,Medium
Electrical infrastructure issue,Some equipment in the classroom is damaged. The issue is at Hostel B.,Infrastructure,Low
Electrical repair required,The area requires proper cleaning.,Maintenance,Low
Library computer issue,A library facility requires maintenance. This has been causing inconvenience at Library.,Library,Low
Practical equipment damaged,The laboratory requires maintenance.,Laboratory,Medium
Electrical infrastructure issue,The building requires maintenance. I noticed this problem at Hostel B.,Infrastructure,Medium
Bathroom issue,The hostel common area is not being cleaned properly.,Hostel,Low
Lab equipment problem,Some required laboratory equipment is missing. I noticed this problem at Main Building.,Laboratory,Medium
Library book unavailable,The library timing is causing difficulty for students.,Library,High
Hostel room allocation issue,There is a problem with my hostel room.,Hostel,Medium
Maintenance request,A campus facility is damaged and needs repair. Students at Library are affected.,Maintenance,Medium
Laboratory maintenance,A computer in the laboratory is not functioning. Students at Hostel A are affected.,Laboratory,Medium
Attendance issue,My semester result is still not showing. This has been causing inconvenience at Computer Lab.,Academic,High
Transport facility issue,The college bus is overcrowded.,Transport,Low
Library facility problem,A computer in the library is not working.,Library,High
Lab equipment problem,There is a safety issue in the laboratory.,Laboratory,Critical
Marks not updated,I am unable to submit my assignment through the portal. Students at Main Building are affected.,Academic,Medium
Practical equipment damaged,The laboratory requires maintenance. The issue is at Hostel B.,Laboratory,High
Broken fan,The ceiling fan is not working.,Maintenance,Medium
Library computer issue,A library facility requires maintenance. This has been causing inconvenience at Hostel A.,Library,Low
Bus route problem,The scheduled bus service did not arrive. This has been causing inconvenience at Sports Complex.,Transport,High
Plumbing problem,An electrical repair is required. The issue is at Laboratory Block.,Maintenance,Medium
Electrical infrastructure issue,The campus infrastructure needs attention. This has been causing inconvenience at Hostel B.,Infrastructure,Low
Internet speed problem,Internet speed is extremely slow. The issue is at Campus.,IT / Wi-Fi,High
Laboratory maintenance,There is a safety issue in the laboratory. Students at Library are affected.,Laboratory,Critical
Water supply problem,The hostel common area is not being cleaned properly. I noticed this problem at Library.,Hostel,Medium
Internet connectivity problem,Campus WiFi keeps disconnecting. Students at Main Building are affected.,IT / Wi-Fi,Medium
Broken classroom equipment,Several chairs and desks are damaged. This has been causing inconvenience at Main Gate.,Infrastructure,High
Missing bus service,The scheduled bus service did not arrive. This has been causing inconvenience at Hostel C.,Transport,Low
Bus maintenance problem,The college bus is overcrowded.,Transport,Low
Library computer issue,There are not enough seats available in the library. This has been causing inconvenience at Computer Lab.,Library,Low
Course registration problem,My semester result is still not showing. The issue is at Hostel B.,Academic,High
Bus delay,The college bus requires maintenance. Students at Sports Complex are affected.,Transport,Medium
College bus issue,The college bus arrived late today. The issue is at Computer Lab.,Transport,Medium
Hostel room allocation issue,There is a problem with my hostel room. This has been causing inconvenience at Academic Block.,Hostel,High
Campus infrastructure problem,The campus infrastructure needs attention. This has been causing inconvenience at Main Building.,Infrastructure,High
Library book unavailable,The digital library is not accessible. I noticed this problem at Hostel B.,Library,Low
Plumbing problem,There is a plumbing problem that needs attention.,Maintenance,Medium
Library computer issue,The library timing is causing difficulty for students. I noticed this problem at Library.,Library,High
Broken classroom equipment,There is a problem with the classroom facilities. This has been causing inconvenience at Campus.,Infrastructure,Medium
Broken classroom equipment,Water is leaking from the classroom ceiling. I noticed this problem at Campus.,Infrastructure,Low
Library seat problem,The library timing is causing difficulty for students. I noticed this problem at Academic Block.,Library,High
Student portal not working,Campus WiFi keeps disconnecting. The issue is at Hostel C.,IT / Wi-Fi,Medium
Hostel room issue,There is an electricity problem in the hostel. Students at Sports Complex are affected.,Hostel,High
Damaged furniture,Several chairs and desks are damaged. Students at Sports Complex are affected.,Infrastructure,High
Internal marks issue,I am facing a problem while registering for my course. Students at Main Gate are affected.,Academic,High
Laboratory facility issue,There is a safety issue in the laboratory. Students at Campus are affected.,Laboratory,Critical
Laboratory facility issue,There is a safety issue in the laboratory.,Laboratory,Critical
Bus maintenance problem,The college bus is overcrowded.,Transport,High
Building maintenance issue,Several chairs and desks are damaged. The issue is at Main Building.,Infrastructure,High
Library computer issue,A computer in the library is not working. The issue is at Main Building.,Library,Medium
Laboratory facility issue,Some required laboratory equipment is missing. The issue is at Laboratory Block.,Laboratory,Medium
Missing bus service,The college bus arrived late today. The issue is at Laboratory Block.,Transport,High
Book return issue,A library facility requires maintenance. I noticed this problem at Hostel B.,Library,Medium
Course registration problem,My attendance is incorrect in the academic record. I noticed this problem at Main Gate.,Academic,Medium
Classroom infrastructure issue,There is a problem with the classroom facilities. Students at Computer Lab are affected.,Infrastructure,High
Bus delay,There is an issue with the current bus route. I noticed this problem at Hostel A.,Transport,Medium
Ceiling leakage,Some equipment in the classroom is damaged. Students at Main Building are affected.,Infrastructure,Medium
Hostel room issue,The hostel common area is not being cleaned properly.,Hostel,High
Water supply problem,A basic hostel facility is not working properly.,Hostel,Low
Campus WiFi issue,I am facing a network connectivity problem. The issue is at Laboratory Block.,IT / Wi-Fi,Medium
Internet speed problem,Campus WiFi keeps disconnecting. The issue is at Main Gate.,IT / Wi-Fi,Medium
Hostel room issue,My hostel room requires maintenance. The issue is at Computer Lab.,Hostel,High
Library seat problem,The required book is not available in the library. The issue is at Library.,Library,Medium
Internet connectivity problem,I cannot log in to the student portal. The issue is at Hostel C.,IT / Wi-Fi,Medium
Library timing problem,The required reference book is unavailable. Students at Computer Lab are affected.,Library,High
Broken classroom equipment,There is an electrical infrastructure problem. I noticed this problem at Hostel A.,Infrastructure,Medium
Assignment submission issue,My marks have not been updated on the student portal. I noticed this problem at Library.,Academic,High
Bus overcrowding,The college bus arrived late today. Students at Main Gate are affected.,Transport,Medium
Library book unavailable,The digital library is not accessible. The issue is at Main Building.,Library,Medium
Maintenance request,A campus facility is damaged and needs repair. I noticed this problem at Laboratory Block.,Maintenance,Medium
Bus maintenance problem,The scheduled bus service did not arrive. I noticed this problem at Campus.,Transport,Low
Electrical repair required,A maintenance request has been pending. Students at Sports Complex are affected.,Maintenance,Medium
Library computer issue,A computer in the library is not working. I noticed this problem at Library.,Library,Medium
Transport facility issue,The college bus service is facing a problem. I noticed this problem at Computer Lab.,Transport,High
Course registration problem,My internal assessment marks appear to be incorrect. The issue is at Main Building.,Academic,Low
Cleaning required,The ceiling fan is not working. Students at Hostel A are affected.,Maintenance,High
Exam schedule problem,My attendance is incorrect in the academic record. I noticed this problem at Academic Block.,Academic,Medium
Water leakage,The ceiling fan is not working. This has been causing inconvenience at Main Gate.,Maintenance,Medium
Reference book unavailable,A computer in the library is not working. Students at Sports Complex are affected.,Library,Medium
Cleaning required,There is a plumbing problem that needs attention. The issue is at Academic Block.,Maintenance,Low
Electrical infrastructure issue,Water is leaking from the classroom ceiling. The issue is at Campus.,Infrastructure,Medium
Laboratory facility issue,There is a safety issue in the laboratory. I noticed this problem at Sports Complex.,Laboratory,Critical
Transport timing problem,There is an issue with the current bus route. The issue is at Hostel C.,Transport,High
Electrical infrastructure issue,Some equipment in the classroom is damaged. I noticed this problem at Main Gate.,Infrastructure,Medium
Bathroom issue,The bathroom facilities require attention. Students at Hostel C are affected.,Hostel,Medium
Internet connectivity problem,The student portal is not working properly. Students at Hostel C are affected.,IT / Wi-Fi,High
Course registration problem,I am facing a problem while registering for my course.,Academic,Medium
Water supply problem,The bathroom facilities require attention. This has been causing inconvenience at Laboratory Block.,Hostel,High
Electrical repair required,The ceiling fan is not working. The issue is at Library.,Maintenance,High
Missing bus service,The college bus service is facing a problem.,Transport,Medium
Ceiling leakage,The classroom infrastructure needs maintenance.,Infrastructure,Medium
Missing lab equipment,Some required laboratory equipment is missing. Students at Library are affected.,Laboratory,Medium
Laboratory computer issue,Practical equipment appears to be damaged.,Laboratory,Medium
Classroom problem,Some equipment in the classroom is damaged. Students at Campus are affected.,Infrastructure,Medium
Campus infrastructure problem,The classroom infrastructure needs maintenance. The issue is at Hostel A.,Infrastructure,Low
Lab safety issue,One of the lab workstations is not working. The issue is at Sports Complex.,Laboratory,High
Practical equipment damaged,There is a problem with the laboratory facilities. This has been causing inconvenience at Academic Block.,Laboratory,Medium
Bus route problem,The college bus arrived late today. This has been causing inconvenience at Hostel C.,Transport,High
Bus maintenance problem,The transport timing is inconvenient.,Transport,Medium
Digital library issue,The digital library is not accessible. Students at Laboratory Block are affected.,Library,Medium
Hostel electricity problem,The hostel common area is not being cleaned properly. The issue is at Computer Lab.,Hostel,Medium
Transport timing problem,The college bus service is facing a problem. The issue is at Hostel B.,Transport,Medium
Maintenance request,The lights in the room are not working. I noticed this problem at Hostel C.,Maintenance,Medium
Campus WiFi issue,The computer network is not accessible. This has been causing inconvenience at Campus.,IT / Wi-Fi,High
Laboratory facility issue,The equipment required for the practical is not working. This has been causing inconvenience at Hostel B.,Laboratory,High
Student portal not working,I cannot log in to the student portal. The issue is at Hostel A.,IT / Wi-Fi,Medium
Bus maintenance problem,The college bus is overcrowded. The issue is at Campus.,Transport,Low
Broken fan,There is a plumbing problem that needs attention. This has been causing inconvenience at Library.,Maintenance,Medium
Internal marks issue,My marks have not been updated on the student portal.,Academic,Medium
Library seat problem,A computer in the library is not working.,Library,High
Laboratory computer issue,Some required laboratory equipment is missing. This has been causing inconvenience at Hostel B.,Laboratory,Medium
Digital library issue,The library timing is causing difficulty for students.,Library,High
Marks not updated,My marks have not been updated on the student portal. I noticed this problem at Hostel C.,Academic,High
College bus issue,The college bus service is facing a problem.,Transport,Medium
Ceiling leakage,There is a problem with the classroom facilities. I noticed this problem at Sports Complex.,Infrastructure,High
Laboratory facility issue,The equipment required for the practical is not working. I noticed this problem at Library.,Laboratory,Low
Plumbing problem,There is water leakage that requires immediate repair. This has been causing inconvenience at Sports Complex.,Maintenance,Medium
WiFi not working,The computer network is not accessible.,IT / Wi-Fi,High
Building maintenance issue,The classroom infrastructure needs maintenance. The issue is at Sports Complex.,Infrastructure,Medium
Faculty related issue,I am facing a problem while registering for my course. Students at Laboratory Block are affected.,Academic,High
Internet speed problem,The computer network is not accessible. Students at Hostel A are affected.,IT / Wi-Fi,Medium
Reference book unavailable,A library facility requires maintenance. Students at Library are affected.,Library,High
Digital library issue,There are not enough seats available in the library. This has been causing inconvenience at Sports Complex.,Library,Medium
Network connection problem,I am facing a network connectivity problem. I noticed this problem at Academic Block.,IT / Wi-Fi,Medium
Computer network issue,I cannot log in to the student portal. I noticed this problem at Computer Lab.,IT / Wi-Fi,Medium
Laboratory computer issue,One of the lab workstations is not working. I noticed this problem at Laboratory Block.,Laboratory,Medium
Lab equipment problem,Practical equipment appears to be damaged. I noticed this problem at Hostel B.,Laboratory,High
Laboratory facility issue,There is a safety issue in the laboratory.,Laboratory,Critical
Practical equipment damaged,Some required laboratory equipment is missing.,Laboratory,Medium
WiFi not working,The student portal is not working properly. Students at Main Gate are affected.,IT / Wi-Fi,Low
Room maintenance issue,There is an electricity problem in the hostel. The issue is at Computer Lab.,Hostel,Medium
Exam schedule problem,My internal assessment marks appear to be incorrect. This has been causing inconvenience at Main Gate.,Academic,High
Network connection problem,I cannot log in to the student portal. The issue is at Main Building.,IT / Wi-Fi,Low
WiFi not working,Campus WiFi keeps disconnecting. Students at Laboratory Block are affected.,IT / Wi-Fi,Low
Damaged facility,The ceiling fan is not working. The issue is at Main Building.,Maintenance,Low
Laboratory computer issue,The laboratory requires maintenance. This has been causing inconvenience at Main Building.,Laboratory,High
Electrical infrastructure issue,There is a problem with the classroom facilities. The issue is at Academic Block.,Infrastructure,Medium
